subfamily,tip_label,male_MW,male_ML,queen_MW,queen_ML,colony_size,queen_number_continuous,caste_number
Ponerinae,Hypoponera.punctatissima,0.310344828,0.6910112,0.460674157,1.083333333,NA,NA,NA
Ponerinae,Hypoponera.sakalava,0.753424658,1.4038462,0.428571429,0.892857143,NA,NA,NA
Dolichoderinae,Iridomyrmex.lividus,1.897959184,3.6161616,3.275862069,5,NA,NA,NA
Dolichoderinae,Iridomyrmex.rubriceps,1.144927536,1.754717,1.769230769,3.105590062,NA,NA,NA
Dolichoderinae,Iridomyrmex.suchieri,1.384615385,2.4117647,1.411764706,2.411764706,NA,NA,NA
Myrmicinae,Kalathomyrmex.emeryi,0.640449438,0.98125,0.704225352,1.218309859,100,1,1
Formicinae,Lasius.alienus,0.8,1.378787879,1.891304348,2.531914894,3000,NA,1
Formicinae,Lasius.austriacus,0.602040816,0.817073171,1.761904762,2.366666667,NA,NA,NA
Formicinae,Lasius.bureni,0.730769231,1.428571429,1.032258065,2.064516129,NA,NA,NA
Formicinae,Lasius.californicus,0.779069767,1.346153846,1.421052632,2.590909091,NA,NA,NA
Formicinae,Lasius.fallax,0.833333333,1.346534653,1.893203883,2.756097561,NA,NA,NA
Formicinae,Lasius.flavus,1,1.465517241,1.822222222,2.5,4885,3.5,1
Formicinae,Lasius.humilis,0.905882353,1.166666667,0.987179487,1.691358025,NA,NA,NA
Formicinae,Lasius.interjectus,1.2,1.551724138,1.75,2.290909091,NA,NA,NA
Formicinae,Lasius.nevadensis,0.817610063,1.131313131,1.228070175,1.985714286,NA,NA,NA
Formicinae,Lasius.niger,1.235294118,1.62745098,2.379746835,2.781609195,23205.5,1,1
Formicinae,Lasius.pallitarsis,1.202702703,1.673913043,2.159090909,3.095238095,NA,NA,1
Formicinae,Lasius.piliferus,1.035714286,1.25,2.234042553,3,NA,NA,1
Formicinae,Lasius.platythorax,0.848484848,1.5,0.928571429,2.755102041,NA,NA,NA
Formicinae,Lasius.psammophilus,0.875,1.5,2.25,2.95890411,NA,NA,NA
Formicinae,Lasius.sitiens,0.705882353,0.714285714,1.743589744,2.361111111,NA,NA,NA
Formicinae,Lasius.umbratus,1.074074074,1.470588235,1.378378378,2.585365854,3000,NA,1
Formicinae,Lasius.xerophilus,0.863636364,1.468085106,1.86440678,3.070422535,NA,NA,NA
Myrmicinae,Leptothorax.acervorum,0.734177215,1.590163934,0.576923077,1.192307692,44.97,5.78,1
Myrmicinae,Leptothorax.athabasca,0.703125,1.304878049,0.461038961,1.070175439,NA,NA,NA
Myrmicinae,Leptothorax.kutteri,0.678571429,1.319148936,0.528089888,1.064516129,NA,NA,NA
Myrmicinae,Leptothorax.muscorum,0.302439024,1.355555556,0.45212766,0.961038961,41.57,1.6,1
Myrmicinae,Leptothorax.pacis,0.59375,1.345238095,0.539215686,1.132653061,NA,NA,NA
Myrmicinae,Leptothorax.retractus,0.65625,1.020408163,0.434782609,0.967213115,NA,NA,1
Myrmicinae,Leptothorax.wilsoni,0.731343284,1.055555556,0.415254237,0.885714286,NA,NA,NA
Dolichoderinae,Linepithema.humile,1.195121951,1.547619048,0.892857143,2.01754386,575000,NA,1
Dolichoderinae,Linepithema.neotropicum,0.541666667,0.9296875,0.951807229,1.666666667,NA,NA,NA
Dolichoderinae,Liometopum.apiculatum,2.784313725,4.193548387,3.166666667,5.265306122,250000,NA,NA
Dolichoderinae,Liometopum.luctuosum,2.069767442,3.333333333,1.972222222,3.051282051,NA,NA,NA
Dolichoderinae,Liometopum.occidentale,2.422222222,3.625,2.258064516,3.571428571,50000,NA,NA
Myrmicinae,Liomyrmex.gestroi,0.818181818,1.573170732,0.490196078,2.511627907,NA,NA,NA
Dorylinae,Cerapachys.lividus,0.73,1.254716981,0.921875,1.554054054,NA,NA,NA
Myrmicinae,Malagidris.belti,0.696428571,1.446428571,0.907407407,1.950819672,NA,NA,NA
Myrmicinae,Manica.bradleyi,1.114285714,2.264705882,1.821428571,3.27027027,NA,NA,NA
Myrmicinae,Manica.invidia,1.269230769,2.375,1.409090909,2.871794872,400,NA,1
Myrmicinae,Mayriella.abstinens,0.518518519,0.764150943,0.464516129,0.733333333,NA,NA,NA
Myrmicinae,Megalomyrmex.adamsae,0.902777778,1.541666667,0.789473684,1.581081081,NA,NA,NA
Myrmicinae,Megalomyrmex.modestus,0.903846154,1.539215686,1.36,2.48,NA,NA,NA
Myrmicinae,Megalomyrmex.mondabora,0.852631579,1.446808511,0.863013699,1.575342466,NA,NA,NA
Myrmicinae,Megalomyrmex.mondaboroides,0.688172043,1.11827957,0.70212766,1.223404255,NA,NA,NA
Myrmicinae,Megalomyrmex.symmetochus,0.744680851,1.319444444,0.736842105,1.3,NA,NA,NA
Myrmicinae,Melissotarsus.insularis,0.396551724,0.696629213,0.505102041,0.757894737,NA,NA,NA
Myrmicinae,Meranoplus.mayri,1.109756098,1.707317073,1.727272727,1.926470588,NA,NA,NA
Myrmicinae,Meranoplus.niger,0.72,1.101449275,1.121621622,1.447368421,NA,NA,NA
Myrmicinae,Meranoplus.peringueyi,1.136986301,1.520547945,1.469879518,1.611111111,NA,NA,NA
Myrmicinae,Meranoplus.radamae,0.317518248,0.418439716,1.395348837,1.409090909,NA,NA,NA
Ponerinae,Mesoponera.ambigua,0.701754386,1.418032787,0.738461538,1.652777778,NA,NA,NA
Ponerinae,Mesoponera.caffraria,1.184615385,2.540983607,1.348314607,3,25,1,1
Ponerinae,Mesoponera.elisae_rotundata,1.011363636,1.659090909,0.82278481,1.794871795,NA,NA,NA
Myrmicinae,Messor.buettikeri,1.75,3.2,1.518518519,3.18,NA,NA,NA
Myrmicinae,Messor.minor_hesperius,1.571428571,3.042553191,2.028169014,3.575,NA,NA,NA
